Date,net_sse,net_szse,net_southbound,net_southbound_cum,net_southbound_mean,hsi
2021-04-19,2424.96,4107.0199999999995,6531.98,465733.32999999996,3250.753333333336,29106.150390625
2021-04-20,1442.9499999999998,3776.0200000000004,5218.97,470952.29999999993,5095.006666666669,29135.73046875
2021-04-21,2210.2999999999993,2864.6900000000005,5074.99,476027.2899999999,5608.64666666667,28621.919921875
2021-04-22,3247.38,3317.239999999999,6564.619999999999,482591.9099999999,5619.526666666669,28755.33984375
2021-04-23,274.84999999999945,3227.6499999999987,3502.499999999998,486094.4099999999,5047.370000000003,29078.75
2021-04-26,1199.2200000000003,2506.6899999999996,3705.91,489800.3199999999,4591.010000000003,28952.830078125
2021-04-27,-900.1599999999999,1305.2800000000007,405.1200000000008,490205.4399999999,2537.8433333333364,28941.5390625
2021-04-28,-283.22999999999956,333.0799999999999,49.850000000000364,490255.28999999986,1386.960000000004,29071.33984375
2021-04-29,0.0,0.0,0.0,490255.28999999986,151.6566666666707,29303.259765625
2021-04-30,0.0,0.0,0.0,490255.28999999986,16.616666666670426,28724.880859375
2021-05-03,0.0,0.0,0.0,490255.28999999986,3.637978807091713e-12,28357.5390625
2021-05-04,0.0,0.0,0.0,490255.28999999986,3.637978807091713e-12,28557.140625
2021-05-05,0.0,0.0,0.0,490255.28999999986,3.637978807091713e-12,28417.98046875
2021-05-06,-1412.5899999999983,1016.7700000000004,-395.8199999999979,489859.46999999986,-131.93999999999565,28637.4609375
2021-05-07,-318.03000000000065,2012.7099999999991,1694.6799999999985,491554.14999999985,432.9533333333372,28610.650390625
2021-05-10,-1925.1099999999988,-1375.4099999999999,-3300.5199999999986,488253.62999999983,-667.2199999999957,28595.66015625
2021-05-11,1829.130000000001,5072.18,6901.310000000001,495154.9399999998,1765.1566666666706,28013.810546875
2021-05-12,5505.03,5103.760000000001,10608.79,505763.7299999998,4736.526666666671,28231.0390625
2021-05-13,2707.5,2266.99,4974.49,510738.2199999998,7494.863333333337,27718.669921875
2021-05-14,1953.1400000000003,2773.37,4726.51,515464.7299999998,6769.930000000004,28027.5703125
2021-05-17,3140.8600000000006,6825.549999999999,9966.41,525431.1399999998,6555.803333333337,28194.08984375
2021-05-18,963.5599999999995,3894.3399999999992,4857.899999999999,530289.0399999998,6516.940000000002,28593.810546875
2021-05-20,947.0500000000011,4077.4800000000014,5024.5300000000025,535313.5699999998,6616.280000000003,28450.2890625
2021-05-21,1343.1400000000012,5252.18,6595.3200000000015,541908.8899999998,5492.583333333337,28458.439453125
2021-05-24,-244.09000000000015,2000.5699999999997,1756.4799999999996,543665.3699999998,4458.776666666671,28412.259765625
2021-05-25,2976.449999999999,4691.549999999999,7667.999999999998,551333.3699999998,5339.933333333335,28910.859375
2021-05-26,-46.44000000000051,1679.539999999999,1633.0999999999985,552966.4699999997,3685.860000000001,29166.009765625
2021-05-27,-1922.4700000000012,543.3500000000004,-1379.1200000000008,551587.3499999997,2640.660000000001,29113.19921875
2021-05-28,-1111.6699999999992,969.0300000000007,-142.6399999999985,551444.7099999997,37.113333333335504,29124.41015625
2021-05-31,-805.6100000000006,1553.5,747.8899999999994,552192.5999999997,-257.9566666666642,29151.80078125
2021-06-01,1521.9099999999999,4044.6900000000005,5566.6,557759.1999999997,2057.283333333336,29468.0
2021-06-02,57.840000000000146,2476.3200000000006,2534.1600000000008,560293.3599999998,2949.550000000003,29297.619140625
2021-06-03,-626.5,1812.840000000001,1186.340000000001,561479.6999999997,3095.700000000003,28966.029296875
2021-06-04,120.09000000000015,-119.13999999999942,0.9500000000007276,561480.6499999997,1240.4833333333365,28918.099609375
2021-06-07,-351.4400000000005,311.78999999999905,-39.650000000001455,561440.9999999997,382.5466666666692,28787.279296875
2021-06-08,-1153.9399999999996,454.3100000000004,-699.6299999999992,560741.3699999996,-246.10999999999754,28781.380859375
2021-06-09,450.02999999999975,2486.58,2936.6099999999997,563677.9799999996,732.4433333333354,28742.630859375
2021-06-10,-1283.0299999999997,187.97000000000116,-1095.0599999999986,562582.9199999996,380.64000000000306,28738.880859375
2021-06-11,684.25,1319.8599999999997,2004.1099999999997,564587.0299999996,1281.8866666666693,28842.130859375
2021-06-15,-952.1900000000005,1251.6200000000008,299.4300000000003,564886.4599999996,402.82666666666955,28638.529296875
2021-06-16,-1417.7000000000007,50.07999999999993,-1367.6200000000008,563518.8399999996,311.97333333333546,
